trip_id,stop_id,direction,arrival,departure,stop_seq,timepoint,pickup,dropoff,display,driver
1-1-R1-S1-17,303a,Lewis North,10:47:00,10:47:00,7,0,3,3,1,
1-1-R1-S1-17,305a,Lewis North,10:47:30,10:47:30,8,0,3,3,1,
1-1-R1-S1-17,307a,Lewis North,10:48:00,10:48:00,9,0,3,3,1,
1-1-R1-S1-17,308a,Lewis North,10:48:30,10:48:30,10,0,3,3,1,
1-1-R1-S1-17,310a,Lewis North,10:49:00,10:49:00,11,0,3,3,1,
1-1-R1-S1-17,313a,Lewis North,10:49:30,10:49:30,12,0,3,3,1,
1-1-R1-S1-17,400a,Lewis North,10:51:00,10:51:00,13,0,3,3,1,
1-1-R1-S1-17,410a,Lewis North,10:56:00,10:56:00,14,0,3,3,1,
1-1-R1-S1-17,413a,Lewis North,10:57:00,10:57:00,15,0,3,3,1,
1-1-R1-S1-17,414a,Lewis North,10:58:00,10:58:00,16,0,3,3,1,
1-1-R1-S1-17,415a,Lewis North,10:58:30,10:58:30,17,0,3,3,1,
1-1-R1-S1-17,452a,Lewis North,11:01:00,11:01:00,18,0,3,3,1,
1-1-R1-S1-17,465a,Lewis North,11:02:00,11:02:00,19,0,3,3,1,
1-1-R1-S1-17,474a,Lewis North,11:03:00,11:03:00,20,0,3,3,1,
1-1-R1-S1-18,100a,Lewis North,11:40:00,11:40:00,0,1,0,0,1,
1-1-R1-S1-18,101a,Lewis North,11:40:45,11:40:45,1,0,3,3,1,
1-1-R1-S1-18,140a,Lewis North,11:41:30,11:41:30,2,0,3,3,1,
1-1-R1-S1-18,141a,Lewis North,11:42:00,11:42:00,3,0,3,3,1,
1-1-R1-S1-18,201a,Lewis North,11:43:30,11:43:30,4,0,3,3,1,
1-1-R1-S1-18,212a,Lewis North,11:44:00,11:44:00,5,0,3,3,1,
1-1-R1-S1-18,217a,Lewis North,11:45:00,11:45:00,6,0,3,3,1,
1-1-R1-S1-18,303a,Lewis North,11:47:00,11:47:00,7,0,3,3,1,
1-1-R1-S1-18,305a,Lewis North,11:47:30,11:47:30,8,0,3,3,1,
1-1-R1-S1-18,307a,Lewis North,11:48:00,11:48:00,9,0,3,3,1,
1-1-R1-S1-18,308a,Lewis North,11:48:30,11:48:30,10,0,3,3,1,
1-1-R1-S1-18,310a,Lewis North,11:49:00,11:49:00,11,0,3,3,1,
1-1-R1-S1-18,313a,Lewis North,11:49:30,11:49:30,12,0,3,3,1,
1-1-R1-S1-18,400a,Lewis North,11:51:00,11:51:00,13,0,3,3,1,
1-1-R1-S1-18,410a,Lewis North,11:56:00,11:56:00,14,0,3,3,1,
1-1-R1-S1-18,413a,Lewis North,11:57:00,11:57:00,15,0,3,3,1,
1-1-R1-S1-18,414a,Lewis North,11:58:00,11:58:00,16,0,3,3,1,
1-1-R1-S1-18,415a,Lewis North,11:58:30,11:58:30,17,0,3,3,1,
1-1-R1-S1-18,452a,Lewis North,12:01:00,12:01:00,18,0,3,3,1,
1-1-R1-S1-18,465a,Lewis North,12:02:00,12:02:00,19,0,3,3,1,
1-1-R1-S1-18,474a,Lewis North,12:03:00,12:03:00,20,0,3,3,1,
1-1-R1-S1-19,100a,Lewis North,12:40:00,12:40:00,0,1,0,0,1,
1-1-R1-S1-19,101a,Lewis North,12:40:45,12:40:45,1,0,3,3,1,
1-1-R1-S1-19,140a,Lewis North,12:41:30,12:41:30,2,0,3,3,1,
1-1-R1-S1-19,141a,Lewis North,12:42:00,12:42:00,3,0,3,3,1,
1-1-R1-S1-19,201a,Lewis North,12:43:30,12:43:30,4,0,3,3,1,
1-1-R1-S1-19,212a,Lewis North,12:44:00,12:44:00,5,0,3,3,1,
1-1-R1-S1-19,217a,Lewis North,12:45:00,12:45:00,6,0,3,3,1,
1-1-R1-S1-19,303a,Lewis North,12:47:00,12:47:00,7,0,3,3,1,
1-1-R1-S1-19,305a,Lewis North,12:47:30,12:47:30,8,0,3,3,1,
1-1-R1-S1-19,307a,Lewis North,12:48:00,12:48:00,9,0,3,3,1,
1-1-R1-S1-19,308a,Lewis North,12:48:30,12:48:30,10,0,3,3,1,
1-1-R1-S1-19,310a,Lewis North,12:49:00,12:49:00,11,0,3,3,1,
1-1-R1-S1-19,313a,Lewis North,12:49:30,12:49:30,12,0,3,3,1,
1-1-R1-S1-19,400a,Lewis North,12:51:00,12:51:00,13,0,3,3,1,
1-1-R1-S1-19,410a,Lewis North,12:56:00,12:56:00,14,0,3,3,1,
1-1-R1-S1-19,413a,Lewis North,12:57:00,12:57:00,15,0,3,3,1,
1-1-R1-S1-19,414a,Lewis North,12:58:00,12:58:00,16,0,3,3,1,
1-1-R1-S1-19,415a,Lewis North,12:58:30,12:58:30,17,0,3,3,1,
1-1-R1-S1-19,452a,Lewis North,13:01:00,13:01:00,18,0,3,3,1,
1-1-R1-S1-19,465a,Lewis North,13:02:00,13:02:00,19,0,3,3,1,
1-1-R1-S1-19,474a,Lewis North,13:03:00,13:03:00,20,0,3,3,1,
1-1-R1-S1-2,100a,Lewis North,08:00:00,08:00:00,0,1,0,0,1,
1-1-R1-S1-2,101a,Lewis North,08:00:45,08:00:45,1,0,3,3,1,
1-1-R1-S1-2,140a,Lewis North,08:01:30,08:01:30,2,0,3,3,1,
1-1-R1-S1-2,141a,Lewis North,08:02:00,08:02:00,3,0,3,3,1,
1-1-R1-S1-2,201a,Lewis North,08:03:30,08:03:30,4,0,3,3,1,
1-1-R1-S1-2,212a,Lewis North,08:04:00,08:04:00,5,0,3,3,1,
1-1-R1-S1-2,217a,Lewis North,08:05:00,08:05:00,6,0,3,3,1,
1-1-R1-S1-2,303a,Lewis North,08:07:00,08:07:00,7,0,3,3,1,
1-1-R1-S1-2,305a,Lewis North,08:07:30,08:07:30,8,0,3,3,1,
1-1-R1-S1-2,307a,Lewis North,08:08:00,08:08:00,9,0,3,3,1,
1-1-R1-S1-2,308a,Lewis North,08:08:30,08:08:30,10,0,3,3,1,
1-1-R1-S1-2,310a,Lewis North,08:09:00,08:09:00,11,0,3,3,1,
1-1-R1-S1-2,313a,Lewis North,08:09:30,08:09:30,12,0,3,3,1,
1-1-R1-S1-2,400a,Lewis North,08:11:00,08:11:00,13,0,3,3,1,
1-1-R1-S1-2,410a,Lewis North,08:16:00,08:16:00,14,0,3,3,1,
1-1-R1-S1-2,413a,Lewis North,08:17:00,08:17:00,15,0,3,3,1,
1-1-R1-S1-2,414a,Lewis North,08:18:00,08:18:00,16,0,3,3,1,
1-1-R1-S1-2,415a,Lewis North,08:18:30,08:18:30,17,0,3,3,1,
1-1-R1-S1-2,452a,Lewis North,08:21:00,08:21:00,18,0,3,3,1,
1-1-R1-S1-2,465a,Lewis North,08:22:00,08:22:00,19,0,3,3,1,
1-1-R1-S1-2,474a,Lewis North,08:23:00,08:23:00,20,0,3,3,1,
1-1-R1-S1-20,100a,Lewis North,13:40:00,13:40:00,0,1,0,0,1,
1-1-R1-S1-20,101a,Lewis North,13:40:45,13:40:45,1,0,3,3,1,
1-1-R1-S1-20,140a,Lewis North,13:41:30,13:41:30,2,0,3,3,1,
1-1-R1-S1-20,141a,Lewis North,13:42:00,13:42:00,3,0,3,3,1,
1-1-R1-S1-20,201a,Lewis North,13:43:30,13:43:30,4,0,3,3,1,
1-1-R1-S1-20,212a,Lewis North,13:44:00,13:44:00,5,0,3,3,1,
1-1-R1-S1-20,217a,Lewis North,13:45:00,13:45:00,6,0,3,3,1,
1-1-R1-S1-20,303a,Lewis North,13:47:00,13:47:00,7,0,3,3,1,
1-1-R1-S1-20,305a,Lewis North,13:47:30,13:47:30,8,0,3,3,1,
1-1-R1-S1-20,307a,Lewis North,13:48:00,13:48:00,9,0,3,3,1,
1-1-R1-S1-20,308a,Lewis North,13:48:30,13:48:30,10,0,3,3,1,
1-1-R1-S1-20,310a,Lewis North,13:49:00,13:49:00,11,0,3,3,1,
1-1-R1-S1-20,313a,Lewis North,13:49:30,13:49:30,12,0,3,3,1,
1-1-R1-S1-20,400a,Lewis North,13:51:00,13:51:00,13,0,3,3,1,
1-1-R1-S1-20,410a,Lewis North,13:56:00,13:56:00,14,0,3,3,1,
1-1-R1-S1-20,413a,Lewis North,13:57:00,13:57:00,15,0,3,3,1,
1-1-R1-S1-20,414a,Lewis North,13:58:00,13:58:00,16,0,3,3,1,
