D:\go/data/ridership\2016\07\17/20160717_S12A.csv,StopUnavailableForRouteError,The stop 780 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\18/20160718_S4B.csv,StopValidationError,Boarding stop of 727 in row 8 is not a valid stop
D:\go/data/ridership\2016\07\19/20160719_S7B.csv,StopUnavailableForRouteError,The stop 400 is not a part of any routes within joint route 3&4
D:\go/data/ridership\2016\07\2/20160702_S10A.csv,StopUnavailableForRouteError,The stop 212 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\2/20160702_S11A.csv,StopValidationError,Deboarding stop of None in row 2 is not a valid stop
D:\go/data/ridership\2016\07\2/20160702_S12A.csv,StopUnavailableForRouteError,The stop 400 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\21/20160721_S7B.csv,StopValidationError,Boarding stop of 181 in row 4 is not a valid stop
D:\go/data/ridership\2016\07\22/20160722_S1B.csv,StopUnavailableForRouteError,The stop 273 is not a part of any routes within joint route 1&2
D:\go/data/ridership\2016\07\22/20160722_S1B.csv,StopUnavailableForRouteError,The stop 273 is not a part of any routes within joint route 1&2
D:\go/data/ridership\2016\07\23/20160723_S10A.csv,StopUnavailableForRouteError,The stop 313 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\23/20160723_S10A.csv,StopUnavailableForRouteError,The stop 780 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\23/20160723_S10A.csv,StopUnavailableForRouteError,The stop 780 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\23/20160723_S10A.csv,StopUnavailableForRouteError,The stop 780 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\23/20160723_S10A.csv,StopUnavailableForRouteError,The stop 780 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\23/20160723_S11A.csv,StopUnavailableForRouteError,The stop 780 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\24/20160724_S12A.csv,StopUnavailableForRouteError,The stop 316 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\24/20160724_S12A.csv,StopUnavailableForRouteError,The stop 780 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\25/20160725_S4B.csv,StopUnavailableForRouteError,The stop 322 is not a part of any routes within joint route 1&2
D:\go/data/ridership\2016\07\25/20160725_S4B.csv,StopUnavailableForRouteError,The stop 322 is not a part of any routes within joint route 1&2
D:\go/data/ridership\2016\07\25/20160725_S4B.csv,StopValidationError,Boarding stop of 774 in row 2 is not a valid stop
D:\go/data/ridership\2016\07\25/20160725_S4B.csv,StopValidationError,Boarding stop of 774 in row 6 is not a valid stop
D:\go/data/ridership\2016\07\26/20160726_S5A.csv,StopUnavailableForRouteError,The stop 140 is not a part of any routes within joint route 2
D:\go/data/ridership\2016\07\26/20160726_S5A.csv,StopUnavailableForRouteError,The stop 140 is not a part of any routes within joint route 2
D:\go/data/ridership\2016\07\26/20160726_S5A.csv,StopUnavailableForRouteError,The stop 141 is not a part of any routes within joint route 2
D:\go/data/ridership\2016\07\26/20160726_S5A.csv,StopUnavailableForRouteError,The stop 200 is not a part of any routes within joint route 2
D:\go/data/ridership\2016\07\26/20160726_S5A.csv,StopUnavailableForRouteError,The stop 212 is not a part of any routes within joint route 2
D:\go/data/ridership\2016\07\26/20160726_S5A.csv,StopUnavailableForRouteError,The stop 305 is not a part of any routes within joint route 2
D:\go/data/ridership\2016\07\26/20160726_S5A.csv,StopUnavailableForRouteError,The stop 305 is not a part of any routes within joint route 2
D:\go/data/ridership\2016\07\26/20160726_S5A.csv,StopUnavailableForRouteError,The stop 308 is not a part of any routes within joint route 2
D:\go/data/ridership\2016\07\26/20160726_S5A.csv,StopUnavailableForRouteError,The stop 309 is not a part of any routes within joint route 2
D:\go/data/ridership\2016\07\26/20160726_S5A.csv,StopUnavailableForRouteError,The stop 315 is not a part of any routes within joint route 2
D:\go/data/ridership\2016\07\26/20160726_S5A.csv,StopUnavailableForRouteError,The stop 379 is not a part of any routes within joint route 2
D:\go/data/ridership\2016\07\27/20160727_S3B.csv,StopUnavailableForRouteError,The stop 324 is not a part of any routes within joint route 1&2
D:\go/data/ridership\2016\07\27/20160727_S4B.csv,StopValidationError,Boarding stop of 722 in row 4 is not a valid stop
D:\go/data/ridership\2016\07\27/20160727_S6A.csv,StopValidationError,Deboarding stop of None in row 3 is not a valid stop
D:\go/data/ridership\2016\07\28/20160728_S3B.csv,StopUnavailableForRouteError,The stop 373 is not a part of any routes within joint route 1&2
D:\go/data/ridership\2016\07\3/20160703_S12A.csv,StopUnavailableForRouteError,The stop 313 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\30/20160730_S10A.csv,StopUnavailableForRouteError,The stop 780 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\30/20160730_S11A.csv,StopUnavailableForRouteError,The stop 777 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\30/20160730_S12A.csv,StopUnavailableForRouteError,The stop 780 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\31/20160731_S10A.csv,StopValidationError,Boarding stop of 702 in row 14 is not a valid stop
D:\go/data/ridership\2016\07\31/20160731_S10A.csv,StopValidationError,Deboarding stop of 702 in row 13 is not a valid stop
D:\go/data/ridership\2016\07\5/20160705_S2A.csv,StopValidationError,Deboarding stop of 302 in row 2 is not a valid stop
D:\go/data/ridership\2016\07\6/20160706_S1A.csv,StopValidationError,Deboarding stop of 788 in row 9 is not a valid stop
D:\go/data/ridership\2016\07\7/20160707_S1A.csv,StopValidationError,Boarding stop of 306 in row 8 is not a valid stop
D:\go/data/ridership\2016\07\8/20160708_S3B.csv,StopUnavailableForRouteError,The stop 228 is not a part of any routes within joint route 1&2
D:\go/data/ridership\2016\07\8/20160708_S7B.csv,StopUnavailableForRouteError,The stop 200 is not a part of any routes within joint route 3&4
D:\go/data/ridership\2016\07\9/20160709_S12A.csv,StopUnavailableForRouteError,The stop 201 is not a part of any routes within joint route 10&20
